split_run,batch,method,status,accuracy,balanced_accuracy,macro_f1,elapsed_seconds,iterations_requested,error
20260809_183835,batch_001,MEFISTO,success,0.6507936507936508,0.6507936507936508,0.643060643060643,3860.6309387910005,1000,
20260809_183835,batch_002,MEFISTO,success,0.5396825396825397,0.5396825396825397,0.5436507936507936,1794.90598868698,1000,
20260809_183835,batch_003,MEFISTO,success,0.7142857142857143,0.7142857142857143,0.7107855107855108,3977.3527990380244,1000,
20260809_183835,batch_004,MEFISTO,success,0.5238095238095238,0.5238095238095238,0.5354341736694678,2147.784297251026,1000,
20260809_183835,batch_005,MEFISTO,success,0.6507936507936508,0.6507936507936508,0.6515873015873016,2090.9960493100225,1000,
20260809_183835,batch_006,MEFISTO,success,0.7142857142857143,0.7142857142857143,0.7183275261324041,2882.889757982979,1000,
20260809_183835,batch_007,MEFISTO,success,0.6349206349206349,0.6349206349206349,0.6271189546795682,2943.2498168749735,1000,
20260809_183835,batch_008,MEFISTO,success,0.6666666666666666,0.6666666666666666,0.6641559917166052,1920.1762596250046,1000,
20260809_183835,batch_009,MEFISTO,success,0.5714285714285714,0.5714285714285714,0.5721500721500722,1962.158816419018,1000,
20260809_183835,batch_010,MEFISTO,success,0.7142857142857143,0.7142857142857144,0.7173913043478262,2373.9701879119966,1000,
20260809_183835,batch_011,MEFISTO,success,0.6825396825396826,0.6825396825396824,0.6809280717391891,2561.1163734750007,1000,
20260809_183835,batch_012,MEFISTO,success,0.5396825396825397,0.5396825396825397,0.5380541352832298,2635.4093291820027,1000,
20260809_183835,batch_013,MEFISTO,success,0.5873015873015873,0.5873015873015873,0.5872135994087214,2305.725684567995,1000,
20260809_183835,batch_014,MEFISTO,success,0.5873015873015873,0.5873015873015873,0.593676603432701,1960.344304517028,1000,
20260809_183835,batch_015,MEFISTO,success,0.6349206349206349,0.6349206349206349,0.6412184306921148,2558.567365765979,1000,
20260809_183835,batch_016,MEFISTO,success,0.6507936507936508,0.6507936507936508,0.6498862498862499,2366.2755274790106,1000,
20260809_183835,batch_017,MEFISTO,success,0.5873015873015873,0.5873015873015873,0.5789655016093205,1938.3522917000228,1000,
20260809_183835,batch_018,MEFISTO,success,0.6984126984126984,0.6984126984126985,0.6894782175075932,2223.065346633026,1000,
20260809_183835,batch_019,MEFISTO,success,0.5238095238095238,0.5238095238095238,0.5148423005565862,2837.9449896020233,1000,
20260809_183835,batch_020,MEFISTO,success,0.5555555555555556,0.5555555555555555,0.5512231559290383,657.0429864449543,1000,
