method,metadata,type,dimension,association,absolute_association
TEMPTED,delivery,categorical,component_1,0.2334619177227082,0.2334619177227082
TEMPTED,delivery,categorical,component_2,0.8028693493497536,0.8028693493497536
TEMPTED,gest_time,numeric,component_1,-0.08313657672436406,0.08313657672436406
TEMPTED,gest_time,numeric,component_2,0.12400365849596802,0.12400365849596802
TEMPTED,gender,categorical,component_1,0.22212927823367268,0.22212927823367268
TEMPTED,gender,categorical,component_2,0.14211042488106293,0.14211042488106293
TEMPTED,country,categorical,component_1,0.2785632716955065,0.2785632716955065
TEMPTED,country,categorical,component_2,1.2576597923274724,1.2576597923274724
TEMPTED,bf_length,numeric,component_1,0.06501806470183828,0.06501806470183828
TEMPTED,bf_length,numeric,component_2,0.07338978264866153,0.07338978264866153
TEMPTED,num_abx_treatments,numeric,component_1,-0.16715249277770117,0.16715249277770117
TEMPTED,num_abx_treatments,numeric,component_2,0.32383877543696027,0.32383877543696027
TEMPTED,num_abx_first_year,numeric,component_1,0.03496255119309783,0.03496255119309783
TEMPTED,num_abx_first_year,numeric,component_2,0.2052272884935283,0.2052272884935283
TEMPTED,abx_first_year,categorical,component_1,0.12672127940615752,0.12672127940615752
TEMPTED,abx_first_year,categorical,component_2,0.39726252062238737,0.39726252062238737
TEMPTED,hla_risk_class,categorical,component_1,0.3598305798980982,0.3598305798980982
TEMPTED,hla_risk_class,categorical,component_2,0.09466761189737882,0.09466761189737882
TEMPTED,seroconverted,categorical,component_1,0.0537745631340172,0.0537745631340172
TEMPTED,seroconverted,categorical,component_2,0.3048398109080102,0.3048398109080102
TEMPTED,num_aabs,numeric,component_1,0.007292296980113722,0.007292296980113722
TEMPTED,num_aabs,numeric,component_2,0.06540810720403618,0.06540810720403618
TEMPTED,totalige,numeric,component_1,0.0273201833191582,0.0273201833191582
TEMPTED,totalige,numeric,component_2,0.22840761722058123,0.22840761722058123
TEMPTED,totalige_log,numeric,component_1,0.0273201833191582,0.0273201833191582
TEMPTED,totalige_log,numeric,component_2,0.22840761722058123,0.22840761722058123
TEMPTED,allergy_milk,categorical,component_1,0.1769374523420816,0.1769374523420816
TEMPTED,allergy_milk,categorical,component_2,0.35708785016769085,0.35708785016769085
TEMPTED,allergy_egg,categorical,component_1,0.0666365515252016,0.0666365515252016
TEMPTED,allergy_egg,categorical,component_2,0.13112751248998425,0.13112751248998425
TEMPTED,allergy_peanut,categorical,component_1,0.0740191523895659,0.0740191523895659
TEMPTED,allergy_peanut,categorical,component_2,0.362961939143215,0.362961939143215
TEMPTED,allergy_dustmite,categorical,component_1,0.055395083814506585,0.055395083814506585
TEMPTED,allergy_dustmite,categorical,component_2,0.28451662415233453,0.28451662415233453
TEMPTED,totalige_high,categorical,component_1,0.12499652728928717,0.12499652728928717
TEMPTED,totalige_high,categorical,component_2,0.32879306872326686,0.32879306872326686
TEMPTED,allergy_cat,categorical,component_1,0.3249567194043259,0.3249567194043259
TEMPTED,allergy_cat,categorical,component_2,0.1374683675797762,0.1374683675797762
TEMPTED,allergy_dog,categorical,component_1,0.45161856664488925,0.45161856664488925
TEMPTED,allergy_dog,categorical,component_2,0.42831675691341536,0.42831675691341536
TEMPTED,allergy_birch,categorical,component_1,0.16491869024555988,0.16491869024555988
TEMPTED,allergy_birch,categorical,component_2,0.572279797830356,0.572279797830356
TEMPTED,allergy_timothy,categorical,component_1,0.007286045461339228,0.007286045461339228
TEMPTED,allergy_timothy,categorical,component_2,0.30753740629648896,0.30753740629648896
MEFISTO,age,numeric,factor_1,-0.7744270824255008,0.7744270824255008
MEFISTO,age,numeric,factor_2,-0.6418717035189664,0.6418717035189664
