method,metadata,dimension,association,absolute_association
TEMPTED,gest_time,component_1,-0.08313657672436406,0.08313657672436406
TEMPTED,gest_time,component_2,-0.12400365849596802,0.12400365849596802
TEMPTED,bf_length,component_1,0.06501806470183828,0.06501806470183828
TEMPTED,bf_length,component_2,-0.07338978264866153,0.07338978264866153
TEMPTED,num_abx_treatments,component_1,-0.16715249277770117,0.16715249277770117
TEMPTED,num_abx_treatments,component_2,-0.32383877543696027,0.32383877543696027
TEMPTED,num_abx_first_year,component_1,0.03496255119309783,0.03496255119309783
TEMPTED,num_abx_first_year,component_2,-0.2052272884935283,0.2052272884935283
TEMPTED,num_aabs,component_1,0.007292296980113722,0.007292296980113722
TEMPTED,num_aabs,component_2,-0.06540810720403618,0.06540810720403618
TEMPTED,totalige_log,component_1,0.0273201833191582,0.0273201833191582
TEMPTED,totalige_log,component_2,-0.22840761722058123,0.22840761722058123
