method,feature_id,kingdom,phylum,class,order,family,genus,factor_1,factor_2,factor_3,factor_4,factor_5
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,-0.8486932922662584,1.2725455633680731,-0.00119835602105285,0.0002863311912189,-1.4003726293611471
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,-1.7198942391335554,-0.45017595283333534,-0.0011160026639096,0.0014259746431800001,-1.1961151879699221
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7|g__Unknown_005,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__Unknown_005,1.1701598168688987,-0.00015886289563595002,4.858445719330297e-05,-0.000506502444973,0.1421035286874494
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__Unknown_006,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Barnesiellaceae],g__Unknown_006,-0.5339975509606498,-0.09553875026369366,-0.7793487863356425,-0.6866843034768981,1.2777560477116896
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Butyricimonas,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Odoribacteraceae],g__Butyricimonas,-0.1979278439634256,-1.1886546886770368,-0.00213382841925775,-0.00202501009309595,0.6184237630853504
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__Paraprevotella,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Paraprevotellaceae],g__Paraprevotella,-0.41609383161256425,-1.273113961243563,-0.0011938543159409,-0.6742374527833581,0.7796514076701285
MEFISTO,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,1.2521428687550014,3.051321200319571e-05,1.2410267477854562e-06,-0.00016663680861985002,-1.1282898956246675e-05
MEFISTO,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Unknown_010,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Unknown_010,1.1668114235045706,9.242538252323108e-05,4.928513522676368e-05,9.550974410171695e-05,0.1136400677707608
MEFISTO,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,0.7574835832572242,1.6340952783065323,-0.00010081525921124946,0.15852525895608843,-0.360575153430058
MEFISTO,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,1.1515091916573863,1.5858756989000602,0.00017802239383880002,-0.0004990536746124999,-5.631116091161607e-06
