feature_id,factor_1,factor_2,factor_3,factor_4,factor_5,importance,rank
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Unknown_042,0.20319700033133048,0.38803811048357906,1.1374238647006094,0.6623340133563376,2.0197619617677662,2.0197619617677662,1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,0.4053405492668586,0.12968914988708055,1.1169962117016738,0.6738271106242311,1.974514835294026,1.974514835294026,2
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39|f__|g__Unknown_047,0.1904917155945298,0.0127933253370171,0.08344429194755446,0.07286185283478519,1.8507889037411493,1.8507889037411493,3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella,0.12227102241627,0.7163235780554693,0.23953237979346598,1.0674837193916904,1.7754647225485183,1.7754647225485183,4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,1.7198942391335554,0.45017595283333534,0.03420424842903575,0.0219381322385525,1.1961151879699221,1.7198942391335554,5
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,0.7574835832572242,1.6340952783065323,0.02116606062800195,0.15852525895608843,0.360575153430058,1.6340952783065323,6
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,1.1515091916573863,1.5858756989000602,0.0051647044870699,0.05749869858896495,0.0594416886153401,1.5858756989000602,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,1.5053813060743155,0.2297980118515245,0.2176373049295651,0.8486981534756417,0.27598175145880455,1.5053813060743155,8
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Unknown_020,1.5032563906611043,0.0102041040603704,0.11118538321954795,0.7445466495341879,0.28410412478501423,1.5032563906611043,9
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella,0.853787618953243,1.4274052274897815,0.0248435295812012,0.0826457338565332,0.3971569839448346,1.4274052274897815,10
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.8486932922662584,1.2725455633680731,0.0229023438855448,0.0862824792306647,1.4003726293611471,1.4003726293611471,11
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Unknown_023,1.2385804918673573,0.5340672152954402,0.38796199526326414,0.3575738168930209,1.388871921610439,1.388871921610439,12
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella,0.32042498883413495,1.3401785832435922,0.0245114645568225,0.42930705373081646,0.03489704511272385,1.3401785832435922,13
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,1.182803934408351,0.2510739949961235,0.3702230770546059,0.25644280916510453,1.3381495174847675,1.3381495174847675,14
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,0.9668760291514356,0.01087056643558005,0.47731388205995917,0.412300022346619,1.3157631573261561,1.3157631573261561,15
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,1.3140632343707028,0.14812436749444305,0.29098551826650015,0.2661865328324622,1.1671027967966747,1.3140632343707028,16
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__Unknown_006,0.5339975509606498,0.09553875026369366,0.7793487863356425,0.6866843034768981,1.2777560477116896,1.2777560477116896,17
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Unknown_045,1.2770472155182238,0.0196494722164031,0.0066414546384316,0.0483600035782004,0.0142938371228248,1.2770472155182238,18
