method,feature_id,kingdom,phylum,class,order,family,genus,factor_1,factor_2,factor_3,factor_4,factor_5
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,1.4261621575408243,-0.33023824408289804,-1.8716035065115229,-0.3269186399659961,-0.5370021919172203
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,-1.0077027121952005,1.2280530030009598,-0.939068849463679,0.06143527074454605,0.4057741337247577
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Unknown_003,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Unknown_003,-0.5937633005598884,1.0709606368998728,1.035448732455614,-0.05819850384731725,0.41888692976599323
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides,-0.8377177301649422,0.6082334135398425,0.25328658889937294,-0.01154338187081995,1.4357879537531346
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,0.8599392576758678,-0.1194892064856804,1.0213351599985088,-0.146981293559365,0.0026077790024967504
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Unknown_004,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Unknown_004,-1.1480571505870953,-0.5173219382366621,0.25040088868002564,0.3503082858463258,1.2603017923163928
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__Unknown_006,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Barnesiellaceae],g__Unknown_006,-1.0460733223659555,-0.8508223814004291,1.3401788964532426,0.3258217917195231,1.5282772691556983
MEFISTO,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,2.092153256159593,-0.5737473086046436,0.00032092657408355,-0.3676156152258765,-0.4898346183127765
MEFISTO,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,2.2898138262039365,-0.34821823131054114,0.0001970702691599,-0.5903198240736656,-0.19196434251611239
MEFISTO,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,1.151223704339046,-0.0027251388930957,-0.18716283471584524,-0.3479359554122202,-0.6536847633095946
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,0.9581455969785108,0.812960981043584,0.8787743184976192,-0.1838253150277339,-0.6224838378404685
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,-0.8592717159658647,0.3786962384675192,-0.36180846285465573,-0.0005049958103158,-1.028361178504389
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus,-0.6663088409803615,-0.5327819604304164,0.39700463855166,-5.653890663908631e-05,-0.8486652228797461
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira,-1.1610451678231932,0.8180627687174815,1.1005711137933893,0.00112571658007785,0.0041965633055036
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,-1.0275442178294651,-0.8205930379924858,0.3427319812834864,0.31512862223471305,0.0015087572744078
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Unknown_020,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Unknown_020,-1.2493394211110882,0.2926401331333421,-3.136975995373067e-05,0.0005301177812884001,-0.667620758362674
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus],k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Ruminococcus],-0.1691067930113766,0.00040596176138015,5.354167807692447e-05,-0.0001858100032602,-1.0968716588063054
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,-1.4331436276507987,-0.4290942973787073,0.12155113154730746,0.11572336258641859,0.18005604821492024
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira,-0.7795297594636024,0.00256010504359825,0.3494361255050342,0.18883539846934078,0.03589513133728845
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,-1.0078397207357184,-1.0015782256551182,-0.00010095949156998852,0.1130071526965786,0.0006176773713510999
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Unknown_023,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Unknown_023,-0.8842787776559908,-1.0843676533056246,-0.2622475558645001,0.12597875657149946,-0.16482387943582788
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Unknown_024,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Unknown_024,-0.47240872419092084,-0.5795372072266236,0.0006109521270637999,0.3496300788121063,0.8233281311976972
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Veillonella,0.8007915317655419,1.5835287284961996,0.7774487377484844,0.0120681467617105,-0.3729895277659811
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__Unknown_025,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Unknown_025,-0.39608265609285676,-0.1463203297595846,0.24658454321107834,0.0003013400836517,-0.5873347819301648
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,k__Bacteria,p__Firmicutes,c__Clostridia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,0.6757283739982731,-0.3874029079070097,0.0011387066544844,-0.9522222713271501,0.7971422551271028
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella,k__Bacteria,p__Firmicutes,c__Clostridia,o__Coriobacteriales,f__Coriobacteriaceae,g__Eggerthella,1.6914561952579938,-0.9640510242855584,-0.055437180005845,-0.2362875959005329,-0.9166841992255024
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__|g__Unknown_027,k__Bacteria,p__Firmicutes,c__Clostridia,o__Coriobacteriales,f__,g__Unknown_027,-1.0024252402741867,-0.4426988867198064,0.44471965134273483,0.1466987393731624,-0.4050397746694129
MEFISTO,k__Bacteria|p__Firmicutes|c__Clostridia|o__|f__|g__Unknown_029,k__Bacteria,p__Firmicutes,c__Clostridia,o__,f__,g__Unknown_029,-0.7822726321483223,-0.21918857218270876,0.2489070666634527,0.0002335047716924,-0.8175530922188385
MEFISTO,k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__Unknown_031,k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__[Coprobacillaceae],g__Unknown_031,-0.00225048135867525,-0.2002856851924663,0.00027926876187935,-0.24712027458690072,-1.1865583602923662
MEFISTO,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Sutterella,-1.278035762047383,1.5456891302291988,1.0598901771896503,-0.0013708609954786498,0.8658378858034144
MEFISTO,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,1.7832837794754024,0.2006801895256695,0.5434248828155881,0.22506472317604254,-0.2450440460612428
