feature_id,factor_1,factor_2,factor_3,factor_4,factor_5,method,batch
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.260854060507694,-0.132593706143572,-0.324989797596973,-0.069833723255864,-0.0972205682766605,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,-0.0208286547057551,0.429349564809631,-0.282593189038077,0.043720075914013,0.231540792853722,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Unknown_003,-0.0109370750975071,0.33572776745962,-0.225451362698754,0.191640766243836,0.123973824848721,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,-0.0334773165548393,0.405317499549249,-0.193569814117824,-0.171112397414878,0.352669051079162,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0.0151476602769374,0.0110148518404735,0.0245722958283887,-0.0622839519096472,0.29664191553271,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Unknown_004,-0.180687461426267,0.0701907779930569,-0.135485571879188,-0.257247592717641,0.385961192100993,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,0.293940174285343,-0.372391622806808,-0.325957905117464,0.144218292165602,-0.218843272810919,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,0.334421730846196,-0.267570754583847,-0.246073907041579,0.182499392434439,-0.0487221581413295,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.207897112874819,-0.135086663567253,-0.0716240593571391,0.117051254418845,-0.0072126716658403,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,-0.0886096363603555,-0.0657952269609511,0.0801075034002538,-0.0747075527422318,-0.195897592208901,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,-0.119538910994141,-0.0901838118702367,0.0778690869022171,-0.113219296222598,-0.16219480683988,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira,-0.11146525205408,0.0045695027508977,0.312971614349584,-0.0207720945663125,-0.138724941453207,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,-0.154058379675908,-0.100720982953065,0.177677197128505,-0.147522601856697,-0.0712906085441081,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus],-0.0422442622284257,-0.10785487505297,0.0946419180112456,0.0211158489061787,-0.23098689764435,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Unknown_020,-0.149911602069397,-0.0216938931044119,0.128032852430715,-0.0891548679646494,-0.17884389104518,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,-0.230353243082186,-0.0135979429001171,0.0094733538166014,-0.322990897461744,-0.0530878054101546,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira,-0.118789636457373,0.0272055515541946,0.0983531550302144,0.0357613459994336,-0.0699119093814994,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,-0.19652743506539,-0.0942219151790499,-0.0133667165209696,-0.185811817322974,-0.0775284134632663,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Unknown_023,-0.201656842833577,-0.14144038705824,-0.0317374935142521,-0.250961843276459,-0.026114767195579,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella,0.265485821752994,0.11245171435173,0.332163201584884,0.357556849132859,0.0537313625519474,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Unknown_024,-0.0596971528686823,0.0341083118479151,-0.0649779586510778,0.0452243604651729,0.313131879933796,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__Unknown_025,-0.0645145291474596,-0.0666778209002536,0.140837361139123,-0.0258051393777018,-0.155590579672797,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,0.119770312706014,0.139017113794904,-0.0497548636463896,-0.217439111939981,-0.0525824992957831,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__|g__Unknown_027,-0.160591321102665,-0.0988545664039824,0.16090393913759,-0.120365570722574,-0.0772228509960936,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Clostridia|o__|f__|g__Unknown_029,-0.133592089463922,-0.105155859109069,0.142336952158933,-0.0365843721223603,-0.179325961722712,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__Unknown_031,-0.0564989848072447,-0.149559596766044,0.0805942321336993,-0.0188655663560068,-0.272783458478667,TEMPTED,batch_001
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella,-0.0943618067660288,0.335916763327025,0.0947925384598587,-0.0227634815423593,0.0923875826438424,TEMPTED,batch_001
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,0.351138016818852,-0.0310457316823575,-0.0210994656127326,0.425251487574837,0.155914939255347,TEMPTED,batch_001
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Unknown_042,0.376078504468234,-0.0866280728878044,-0.0763231431157311,0.313900753297916,0.151950506441721,TEMPTED,batch_001
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0.0851649663280877,0.139901376620053,0.324459090840105,0.232017902332796,-0.0012443266612777,TEMPTED,batch_001
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia,-0.0815567681039676,0.0363026340312814,-0.216781044443766,0.097483549886748,0.157426933666245,TEMPTED,batch_001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,1.3569979733170132,-0.5566492757013715,-2.0087790066453897,-0.3728463354703463,-0.5027840858828105,MEFISTO,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,-0.5989463863633532,1.1352601288303832,-1.1899192738791031,0.1208941762158086,0.3942177086630293,MEFISTO,batch_001
