method,factor,label,time_bin,time,median,lower,upper,n
TEMPTED,factor_1,FIN/EST,0,62.5,8.69228202211388,6.419762365131575,10.418550025395756,142
TEMPTED,factor_1,FIN/EST,1,165.0,7.7177648571128765,5.320178442328296,10.210093236955869,97
TEMPTED,factor_1,FIN/EST,2,293.5,2.4041123373350826,-1.4367671151912704,5.614513470382358,82
TEMPTED,factor_1,FIN/EST,3,386.0,-1.1703093111244334,-3.372408354557364,2.1937193831975144,88
TEMPTED,factor_1,FIN/EST,4,482.0,-4.133103859462304,-5.785175634578429,-0.6449658596565803,113
TEMPTED,factor_1,FIN/EST,5,576.5,-6.054951041510678,-7.412758464462843,-3.849816732899213,116
TEMPTED,factor_1,FIN/EST,6,669.0,-6.275617605957023,-8.944691911176719,-3.723680985288757,107
TEMPTED,factor_1,FIN/EST,7,712.0,-5.470554413524369,-8.870101427435413,-1.9169499069141216,13
TEMPTED,factor_1,FIN/EST,8,854.0,-7.8638766324862015,-9.812237097694533,-5.03971174444246,71
TEMPTED,factor_1,FIN/EST,9,887.0,-5.667885890900152,-6.266626401403866,-4.347864716163226,8
TEMPTED,factor_1,FIN/EST,10,1059.0,-7.57487150103222,-9.16408795128558,-6.103482394819619,8
TEMPTED,factor_1,FIN/EST,11,1098.5,-8.98615778986455,-10.136795637743774,-6.978753961978848,62
TEMPTED,factor_1,RUS,0,102.0,7.703960885002193,6.415493673015614,12.171759430992353,6
TEMPTED,factor_1,RUS,1,185.0,9.375935700133702,6.110366664599413,11.866452413870338,75
TEMPTED,factor_1,RUS,2,264.0,5.317530568099987,0.9250598456169106,8.917440958177863,115
TEMPTED,factor_1,RUS,3,365.0,0.5504318322226828,-2.429230567996001,4.917825254380184,125
TEMPTED,factor_1,RUS,4,449.0,-2.017993838471494,-4.528811851031121,1.2083988620766444,101
TEMPTED,factor_1,RUS,5,549.0,-4.52932049988923,-7.121563329156074,-2.118791775091966,81
TEMPTED,factor_1,RUS,6,638.0,-5.253223026617145,-7.152235717070275,-3.4135166772585124,56
TEMPTED,factor_1,RUS,7,725.0,-7.154249395475441,-8.234635236022548,-4.035003609920675,47
TEMPTED,factor_1,RUS,8,829.5,-8.192333412819256,-9.222736202767615,-6.3323328726254084,24
TEMPTED,factor_1,RUS,9,919.0,-7.348004380720935,-9.111263327943387,-4.893011085039736,12
TEMPTED,factor_1,RUS,10,1011.5,-7.156840790801169,-7.829926389580269,-4.765159123443024,12
TEMPTED,factor_1,RUS,11,1101.0,-6.334443222387052,-6.493745545026567,-5.280860333957042,3
TEMPTED,factor_2,FIN/EST,0,62.5,1.4837427183146827,-2.008179500484223,4.016381455425735,142
TEMPTED,factor_2,FIN/EST,1,165.0,0.903459258663248,-2.0574773435919305,3.3059597635274214,97
TEMPTED,factor_2,FIN/EST,2,293.5,0.7056768242418248,-2.819246610106095,3.1561944174436345,82
TEMPTED,factor_2,FIN/EST,3,386.0,0.29978616866983265,-2.0086037974531963,3.571626426726479,88
TEMPTED,factor_2,FIN/EST,4,482.0,0.9148514012161144,-1.3747957112753608,3.833224675608865,113
TEMPTED,factor_2,FIN/EST,5,576.5,3.2882892676801596,1.0397993961338026,4.906477875877332,116
TEMPTED,factor_2,FIN/EST,6,669.0,2.914585495813478,0.8896822814881695,4.910595897845171,107
TEMPTED,factor_2,FIN/EST,7,712.0,2.1651371631523912,-0.4769387926374359,4.897053240879348,13
TEMPTED,factor_2,FIN/EST,8,854.0,3.120029556480675,1.1963904762674262,4.417979778206136,71
TEMPTED,factor_2,FIN/EST,9,887.0,4.053051528214074,1.9271064045737858,4.401523196658587,8
TEMPTED,factor_2,FIN/EST,10,1059.0,3.0908343016223156,1.7912899287590405,4.707512876665374,8
TEMPTED,factor_2,FIN/EST,11,1098.5,3.958789791032457,2.515966426939491,5.452498441948055,62
TEMPTED,factor_2,RUS,0,102.0,-3.4377785408413315,-4.3707891898695035,-2.288157803110292,6
TEMPTED,factor_2,RUS,1,185.0,-4.430716571923785,-6.203269427164752,-1.9704664314743296,75
TEMPTED,factor_2,RUS,2,264.0,-5.017891991919793,-6.659388387032823,-1.7771886561283448,115
TEMPTED,factor_2,RUS,3,365.0,-3.537694204822847,-7.229345998975198,-0.05762925102863435,125
TEMPTED,factor_2,RUS,4,449.0,-2.5329208392812506,-5.433652655797461,0.4776739643016193,101
TEMPTED,factor_2,RUS,5,549.0,-0.11814160844542332,-3.0288312908106945,2.6270265327711395,81
TEMPTED,factor_2,RUS,6,638.0,0.8829339595024772,-0.814249017897621,3.313955555731117,56
TEMPTED,factor_2,RUS,7,725.0,1.4171412234077692,-0.006901041827185955,2.8598661680777004,47
TEMPTED,factor_2,RUS,8,829.5,0.8997200157827776,-0.49984009800480955,2.369701410704242,24
