batch,train_subjects,test_subjects,features,missing_train_mefisto_rclr,missing_test_mefisto_rclr
batch_001,146,63,32,5114,2482
batch_002,146,63,31,4893,2276
batch_003,146,63,31,4891,2278
batch_004,146,63,31,4770,2399
batch_005,146,63,31,5111,2058
batch_006,146,63,31,5084,2085
batch_007,146,63,32,5631,2514
batch_008,146,63,32,5752,2393
batch_009,146,63,31,5173,1996
batch_010,146,63,31,4776,2393
batch_011,146,63,31,5061,2108
batch_012,146,63,31,4907,2262
batch_013,146,63,31,5119,2050
batch_014,146,63,31,5003,2166
batch_015,146,63,31,4838,2331
batch_016,146,63,31,4982,2187
batch_017,146,63,32,5689,2456
batch_018,146,63,31,4906,2263
batch_019,146,63,31,4876,2293
batch_020,146,63,32,4990,2606
