batch,train_subjects,test_subjects,features,tempted_pseudocount,missing_train_mefisto_rclr,missing_test_mefisto_rclr
batch_001,146,63,32,7.9311575524448e-07,5114,2482
batch_002,146,63,31,1.353645231243215e-06,4893,2276
batch_003,146,63,31,1.72806480934261e-06,4891,2278
batch_004,146,63,31,1.75669740887132e-06,4770,2399
batch_005,146,63,31,1.353645231243215e-06,5111,2058
batch_006,146,63,31,1.72806480934261e-06,5084,2085
batch_007,146,63,32,1.353645231243215e-06,5631,2514
batch_008,146,63,32,1.353645231243215e-06,5752,2393
batch_009,146,63,31,1.353645231243215e-06,5173,1996
batch_010,146,63,31,1.72806480934261e-06,4776,2393
batch_011,146,63,31,1.72806480934261e-06,5061,2108
batch_012,146,63,31,1.353645231243215e-06,4907,2262
batch_013,146,63,31,1.353645231243215e-06,5119,2050
batch_014,146,63,31,1.353645231243215e-06,5003,2166
batch_015,146,63,31,1.72806480934261e-06,4838,2331
batch_016,146,63,31,1.72806480934261e-06,4982,2187
batch_017,146,63,32,1.05294635448913e-06,5689,2456
batch_018,146,63,31,1.353645231243215e-06,4906,2263
batch_019,146,63,31,1.83111280387317e-06,4876,2293
batch_020,146,63,32,1.72806480934261e-06,4990,2606
