split_run,batch,train_subjects,test_subjects,features,median_train_tempted_pseudocount,missing_train_mefisto_rclr,missing_test_mefisto_rclr
20260809_183835,batch_001,146,63,31,1.698946653075095e-05,5180,1989
20260809_183835,batch_002,146,63,31,1.7342596919306574e-05,4954,2215
20260809_183835,batch_003,146,63,32,1.70893430856518e-05,5849,2296
20260809_183835,batch_004,146,63,31,1.74331438931697e-05,5093,2076
20260809_183835,batch_005,146,63,31,1.760687372350165e-05,5118,2051
20260809_183835,batch_006,146,63,32,1.68299168602107e-05,5243,2171
20260809_183835,batch_007,146,63,31,1.706615773409895e-05,5015,2154
20260809_183835,batch_008,146,63,32,1.629168732538225e-05,5618,2033
20260809_183835,batch_009,146,63,32,1.72981274948442e-05,5417,2179
20260809_183835,batch_010,146,63,31,1.73888850246922e-05,4944,2225
20260809_183835,batch_011,146,63,32,1.6564154663148973e-05,5310,2341
20260809_183835,batch_012,146,63,31,1.7150215424571123e-05,4805,2364
20260809_183835,batch_013,146,63,32,1.7238570416384774e-05,5678,2467
20260809_183835,batch_014,146,63,31,1.7851423605154225e-05,4901,2268
20260809_183835,batch_015,146,63,31,1.7186264737222e-05,4905,2264
20260809_183835,batch_016,146,63,31,1.710044803173845e-05,5061,2108
20260809_183835,batch_017,146,63,31,1.76884706548272e-05,5126,2043
20260809_183835,batch_018,146,63,31,1.734936414580405e-05,5157,2012
20260809_183835,batch_019,146,63,31,1.74990375529346e-05,5084,2085
20260809_183835,batch_020,146,63,31,1.74331438931697e-05,4817,2352
