split_run,batch,set,subject_id
20260809_183835,batch_001,train,E002338
20260809_183835,batch_001,train,E002681
20260809_183835,batch_001,train,E004071
20260809_183835,batch_001,train,E004080
20260809_183835,batch_001,train,E004934
20260809_183835,batch_001,train,E006871
20260809_183835,batch_001,train,E007980
20260809_183835,batch_001,train,E008241
20260809_183835,batch_001,train,E008357
20260809_183835,batch_001,train,E008437
20260809_183835,batch_001,train,E008643
20260809_183835,batch_001,train,E009020
20260809_183835,batch_001,train,E009667
20260809_183835,batch_001,train,E011183
20260809_183835,batch_001,train,E012124
20260809_183835,batch_001,train,E012393
20260809_183835,batch_001,train,E012678
20260809_183835,batch_001,train,E014953
20260809_183835,batch_001,train,E015208
20260809_183835,batch_001,train,E016681
20260809_183835,batch_001,train,E016870
20260809_183835,batch_001,train,E017049
20260809_183835,batch_001,train,E017715
20260809_183835,batch_001,train,E018421
20260809_183835,batch_001,train,E018574
20260809_183835,batch_001,train,E019160
20260809_183835,batch_001,train,E019187
20260809_183835,batch_001,train,E019793
20260809_183835,batch_001,train,E020682
20260809_183835,batch_001,train,E020781
20260809_183835,batch_001,train,E020808
20260809_183835,batch_001,train,E022083
20260809_183835,batch_001,train,E023535
20260809_183835,batch_001,train,E023681
20260809_183835,batch_001,train,E023705
20260809_183835,batch_001,train,E023839
20260809_183835,batch_001,train,E024240
20260809_183835,batch_001,train,E025671
20260809_183835,batch_001,train,E025921
20260809_183835,batch_001,train,E026343
20260809_183835,batch_001,train,E029796
20260809_183835,batch_001,train,E030828
20260809_183835,batch_001,train,E030933
20260809_183835,batch_001,train,E031941
20260809_183835,batch_001,train,E032745
20260809_183835,batch_001,train,E033036
20260809_183835,batch_001,train,E034324
20260809_183835,batch_001,train,E034885
20260809_183835,batch_001,train,P000648
20260809_183835,batch_001,train,P000675
20260809_183835,batch_001,train,P000756
20260809_183835,batch_001,train,P001363
20260809_183835,batch_001,train,P003191
20260809_183835,batch_001,train,P004113
20260809_183835,batch_001,train,P005135
20260809_183835,batch_001,train,P005279
20260809_183835,batch_001,train,P005342
20260809_183835,batch_001,train,P005558
20260809_183835,batch_001,train,P006862
20260809_183835,batch_001,train,P007550
20260809_183835,batch_001,train,P007649
20260809_183835,batch_001,train,P008119
20260809_183835,batch_001,train,P008579
20260809_183835,batch_001,train,P008633
20260809_183835,batch_001,train,P008939
20260809_183835,batch_001,train,P009291
20260809_183835,batch_001,train,P009880
20260809_183835,batch_001,train,P010096
20260809_183835,batch_001,train,P010322
20260809_183835,batch_001,train,P010936
20260809_183835,batch_001,train,P011108
20260809_183835,batch_001,train,P011207
20260809_183835,batch_001,train,P013454
20260809_183835,batch_001,train,P013701
20260809_183835,batch_001,train,P013823
20260809_183835,batch_001,train,P013960
20260809_183835,batch_001,train,P014713
20260809_183835,batch_001,train,P014839
20260809_183835,batch_001,train,P015163
20260809_183835,batch_001,train,P016803
20260809_183835,batch_001,train,P017255
20260809_183835,batch_001,train,P017671
20260809_183835,batch_001,train,P018832
20260809_183835,batch_001,train,P019222
20260809_183835,batch_001,train,P019475
20260809_183835,batch_001,train,P019854
20260809_183835,batch_001,train,P019980
20260809_183835,batch_001,train,P020604
20260809_183835,batch_001,train,P020861
20260809_183835,batch_001,train,P021343
20260809_183835,batch_001,train,P021772
20260809_183835,batch_001,train,P022130
20260809_183835,batch_001,train,P022222
20260809_183835,batch_001,train,P022384
20260809_183835,batch_001,train,P023918
20260809_183835,batch_001,train,P026562
20260809_183835,batch_001,train,T000094
20260809_183835,batch_001,train,T000272
20260809_183835,batch_001,train,T002534
20260809_183835,batch_001,train,T003353
20260809_183835,batch_001,train,T003355
20260809_183835,batch_001,train,T003745
20260809_183835,batch_001,train,T003950
20260809_183835,batch_001,train,T004341
20260809_183835,batch_001,train,T005643
20260809_183835,batch_001,train,T006266
20260809_183835,batch_001,train,T006288
20260809_183835,batch_001,train,T007404
20260809_183835,batch_001,train,T007748
20260809_183835,batch_001,train,T007750
20260809_183835,batch_001,train,T008246
20260809_183835,batch_001,train,T008247
20260809_183835,batch_001,train,T008631
20260809_183835,batch_001,train,T009275
20260809_183835,batch_001,train,T009280
20260809_183835,batch_001,train,T009717
20260809_183835,batch_001,train,T010520
20260809_183835,batch_001,train,T010532
20260809_183835,batch_001,train,T011676
20260809_183835,batch_001,train,T012121
20260809_183835,batch_001,train,T012312
20260809_183835,batch_001,train,T012977
20260809_183835,batch_001,train,T013431
20260809_183835,batch_001,train,T013832
20260809_183835,batch_001,train,T014197
20260809_183835,batch_001,train,T014575
20260809_183835,batch_001,train,T014800
20260809_183835,batch_001,train,T014801
20260809_183835,batch_001,train,T016548
20260809_183835,batch_001,train,T016811
20260809_183835,batch_001,train,T016812
20260809_183835,batch_001,train,T016834
20260809_183835,batch_001,train,T018343
20260809_183835,batch_001,train,T019021
20260809_183835,batch_001,train,T019031
20260809_183835,batch_001,train,T019853
20260809_183835,batch_001,train,T020231
20260809_183835,batch_001,train,T021613
20260809_183835,batch_001,train,T022883
20260809_183835,batch_001,train,T023390
20260809_183835,batch_001,train,T023909
20260809_183835,batch_001,train,T024121
20260809_183835,batch_001,train,T025415
20260809_183835,batch_001,train,T028029
20260809_183835,batch_001,train,T028183
20260809_183835,batch_001,train,T029922
20260809_183835,batch_001,test,E002473
20260809_183835,batch_001,test,E003393
20260809_183835,batch_001,test,E004781
20260809_183835,batch_001,test,E005804
20260809_183835,batch_001,test,E007303
20260809_183835,batch_001,test,E007743
20260809_183835,batch_001,test,E009676
20260809_183835,batch_001,test,E011459
20260809_183835,batch_001,test,E012115
20260809_183835,batch_001,test,E012971
20260809_183835,batch_001,test,E013394
20260809_183835,batch_001,test,E015378
20260809_183835,batch_001,test,E015991
20260809_183835,batch_001,test,E016148
20260809_183835,batch_001,test,E016444
20260809_183835,batch_001,test,E019349
20260809_183835,batch_001,test,E022960
20260809_183835,batch_001,test,E024646
20260809_183835,batch_001,test,E025912
20260809_183835,batch_001,test,E029310
20260809_183835,batch_001,test,E033156
20260809_183835,batch_001,test,P001307
20260809_183835,batch_001,test,P003173
20260809_183835,batch_001,test,P003435
20260809_183835,batch_001,test,P003558
20260809_183835,batch_001,test,P004230
20260809_183835,batch_001,test,P004847
20260809_183835,batch_001,test,P004946
20260809_183835,batch_001,test,P006035
20260809_183835,batch_001,test,P007857
20260809_183835,batch_001,test,P008543
20260809_183835,batch_001,test,P008723
20260809_183835,batch_001,test,P009219
20260809_183835,batch_001,test,P009746
20260809_183835,batch_001,test,P010313
20260809_183835,batch_001,test,P014605
20260809_183835,batch_001,test,P015091
20260809_183835,batch_001,test,P016497
20260809_183835,batch_001,test,P016574
20260809_183835,batch_001,test,P017743
20260809_183835,batch_001,test,P020631
20260809_183835,batch_001,test,P020799
20260809_183835,batch_001,test,T000461
20260809_183835,batch_001,test,T005507
20260809_183835,batch_001,test,T005999
20260809_183835,batch_001,test,T008025
20260809_183835,batch_001,test,T009909
20260809_183835,batch_001,test,T011454
20260809_183835,batch_001,test,T012138
20260809_183835,batch_001,test,T012374
20260809_183835,batch_001,test,T012389
20260809_183835,batch_001,test,T012983
20260809_183835,batch_001,test,T013828
20260809_183835,batch_001,test,T014806
20260809_183835,batch_001,test,T014827
20260809_183835,batch_001,test,T016234
20260809_183835,batch_001,test,T017394
20260809_183835,batch_001,test,T017419
20260809_183835,batch_001,test,T019850
20260809_183835,batch_001,test,T019852
20260809_183835,batch_001,test,T021076
20260809_183835,batch_001,test,T026211
20260809_183835,batch_001,test,T029687
20260809_183835,batch_002,train,E002473
20260809_183835,batch_002,train,E004071
20260809_183835,batch_002,train,E004934
20260809_183835,batch_002,train,E005804
20260809_183835,batch_002,train,E007980
20260809_183835,batch_002,train,E008241
20260809_183835,batch_002,train,E008357
20260809_183835,batch_002,train,E008437
20260809_183835,batch_002,train,E008643
20260809_183835,batch_002,train,E009020
20260809_183835,batch_002,train,E009676
20260809_183835,batch_002,train,E011183
20260809_183835,batch_002,train,E011459
20260809_183835,batch_002,train,E012115
20260809_183835,batch_002,train,E012393
20260809_183835,batch_002,train,E012678
20260809_183835,batch_002,train,E012971
20260809_183835,batch_002,train,E013394
20260809_183835,batch_002,train,E015208
20260809_183835,batch_002,train,E015378
20260809_183835,batch_002,train,E015991
20260809_183835,batch_002,train,E016444
20260809_183835,batch_002,train,E016681
20260809_183835,batch_002,train,E017715
20260809_183835,batch_002,train,E018421
20260809_183835,batch_002,train,E018574
20260809_183835,batch_002,train,E019160
20260809_183835,batch_002,train,E019349
20260809_183835,batch_002,train,E019793
20260809_183835,batch_002,train,E020781
20260809_183835,batch_002,train,E020808
20260809_183835,batch_002,train,E022083
20260809_183835,batch_002,train,E022960
20260809_183835,batch_002,train,E023535
20260809_183835,batch_002,train,E023681
20260809_183835,batch_002,train,E023705
20260809_183835,batch_002,train,E023839
20260809_183835,batch_002,train,E024646
20260809_183835,batch_002,train,E025912
20260809_183835,batch_002,train,E026343
20260809_183835,batch_002,train,E029310
20260809_183835,batch_002,train,E029796
20260809_183835,batch_002,train,E030828
20260809_183835,batch_002,train,E030933
20260809_183835,batch_002,train,E031941
20260809_183835,batch_002,train,E032745
20260809_183835,batch_002,train,E033036
20260809_183835,batch_002,train,E033156
20260809_183835,batch_002,train,P000675
20260809_183835,batch_002,train,P000756
20260809_183835,batch_002,train,P001307
20260809_183835,batch_002,train,P001363
20260809_183835,batch_002,train,P003173
20260809_183835,batch_002,train,P003191
20260809_183835,batch_002,train,P003435
20260809_183835,batch_002,train,P003558
20260809_183835,batch_002,train,P004113
20260809_183835,batch_002,train,P004847
20260809_183835,batch_002,train,P005279
20260809_183835,batch_002,train,P005342
20260809_183835,batch_002,train,P005558
20260809_183835,batch_002,train,P006862
20260809_183835,batch_002,train,P007550
20260809_183835,batch_002,train,P007649
20260809_183835,batch_002,train,P007857
20260809_183835,batch_002,train,P008119
20260809_183835,batch_002,train,P008579
20260809_183835,batch_002,train,P008633
20260809_183835,batch_002,train,P008723
20260809_183835,batch_002,train,P008939
20260809_183835,batch_002,train,P009219
20260809_183835,batch_002,train,P009291
20260809_183835,batch_002,train,P009880
20260809_183835,batch_002,train,P010313
20260809_183835,batch_002,train,P010322
20260809_183835,batch_002,train,P010936
20260809_183835,batch_002,train,P011108
20260809_183835,batch_002,train,P013454
20260809_183835,batch_002,train,P013701
20260809_183835,batch_002,train,P013823
20260809_183835,batch_002,train,P013960
20260809_183835,batch_002,train,P014713
20260809_183835,batch_002,train,P014839
20260809_183835,batch_002,train,P015163
20260809_183835,batch_002,train,P016497
20260809_183835,batch_002,train,P016574
20260809_183835,batch_002,train,P017255
20260809_183835,batch_002,train,P017671
20260809_183835,batch_002,train,P018832
20260809_183835,batch_002,train,P019222
20260809_183835,batch_002,train,P019475
20260809_183835,batch_002,train,P020799
20260809_183835,batch_002,train,P021343
20260809_183835,batch_002,train,P022222
20260809_183835,batch_002,train,P023918
20260809_183835,batch_002,train,P026562
20260809_183835,batch_002,train,T000094
20260809_183835,batch_002,train,T000272
20260809_183835,batch_002,train,T003353
20260809_183835,batch_002,train,T003355
20260809_183835,batch_002,train,T003950
20260809_183835,batch_002,train,T004341
20260809_183835,batch_002,train,T005507
20260809_183835,batch_002,train,T005643
20260809_183835,batch_002,train,T005999
20260809_183835,batch_002,train,T006266
20260809_183835,batch_002,train,T006288
20260809_183835,batch_002,train,T007404
20260809_183835,batch_002,train,T007748
20260809_183835,batch_002,train,T007750
20260809_183835,batch_002,train,T008246
20260809_183835,batch_002,train,T008247
20260809_183835,batch_002,train,T008631
20260809_183835,batch_002,train,T009275
20260809_183835,batch_002,train,T009717
20260809_183835,batch_002,train,T009909
20260809_183835,batch_002,train,T010520
20260809_183835,batch_002,train,T010532
20260809_183835,batch_002,train,T011454
20260809_183835,batch_002,train,T011676
20260809_183835,batch_002,train,T012138
20260809_183835,batch_002,train,T012312
20260809_183835,batch_002,train,T012389
20260809_183835,batch_002,train,T012983
20260809_183835,batch_002,train,T013431
20260809_183835,batch_002,train,T013828
20260809_183835,batch_002,train,T014575
20260809_183835,batch_002,train,T014800
20260809_183835,batch_002,train,T014801
20260809_183835,batch_002,train,T016234
20260809_183835,batch_002,train,T016548
20260809_183835,batch_002,train,T016811
20260809_183835,batch_002,train,T016812
20260809_183835,batch_002,train,T016834
20260809_183835,batch_002,train,T018343
20260809_183835,batch_002,train,T019031
20260809_183835,batch_002,train,T019853
20260809_183835,batch_002,train,T020231
20260809_183835,batch_002,train,T021613
20260809_183835,batch_002,train,T022883
20260809_183835,batch_002,train,T023390
20260809_183835,batch_002,train,T023909
20260809_183835,batch_002,train,T025415
20260809_183835,batch_002,train,T026211
20260809_183835,batch_002,train,T028183
20260809_183835,batch_002,train,T029922
20260809_183835,batch_002,test,E002338
20260809_183835,batch_002,test,E002681
20260809_183835,batch_002,test,E003393
20260809_183835,batch_002,test,E004080
20260809_183835,batch_002,test,E004781
20260809_183835,batch_002,test,E006871
20260809_183835,batch_002,test,E007303
20260809_183835,batch_002,test,E007743
20260809_183835,batch_002,test,E009667
20260809_183835,batch_002,test,E012124
20260809_183835,batch_002,test,E014953
20260809_183835,batch_002,test,E016148
20260809_183835,batch_002,test,E016870
20260809_183835,batch_002,test,E017049
20260809_183835,batch_002,test,E019187
20260809_183835,batch_002,test,E020682
