"batch","method","status","accuracy","balanced_accuracy","macro_f1","elapsed_seconds","error"
"batch_001","TEMPTED","success",0.523809523809524,0.523809523809524,0.522846158694145,8.589,""
"batch_002","TEMPTED","success",0.53968253968254,0.53968253968254,0.52854852632877,5.565,""
"batch_003","TEMPTED","success",0.666666666666667,0.666666666666667,0.668491715003343,6.011,""
"batch_004","TEMPTED","success",0.555555555555556,0.555555555555556,0.552910052910053,5.383,""
"batch_005","TEMPTED","success",0.555555555555556,0.555555555555556,0.553968253968254,6.066,""
"batch_006","TEMPTED","success",0.476190476190476,0.476190476190476,0.458524454269135,5.65900000000001,""
"batch_007","TEMPTED","success",0.603174603174603,0.603174603174603,0.59274365318904,7.929,""
"batch_008","TEMPTED","success",0.507936507936508,0.507936507936508,0.496649893467519,5.878,""
"batch_009","TEMPTED","success",0.46031746031746,0.46031746031746,0.452991452991453,12.056,""
"batch_010","TEMPTED","success",0.555555555555556,0.555555555555556,0.551966355783959,5.527,""
"batch_011","TEMPTED","success",0.492063492063492,0.492063492063492,0.494123606889564,5.633,""
"batch_012","TEMPTED","success",0.46031746031746,0.46031746031746,0.464285068936232,5.599,""
"batch_013","TEMPTED","success",0.476190476190476,0.476190476190476,0.468552036199095,7.41200000000001,""
"batch_014","TEMPTED","success",0.555555555555556,0.555555555555556,0.549265392319475,6.613,""
"batch_015","TEMPTED","success",0.523809523809524,0.523809523809524,0.505569669728356,5.35899999999999,""
"batch_016","TEMPTED","success",0.507936507936508,0.507936507936508,0.505912786400591,4.754,""
"batch_017","TEMPTED","success",0.53968253968254,0.53968253968254,0.538759689922481,10.672,""
"batch_018","TEMPTED","success",0.53968253968254,0.53968253968254,0.549385749385749,17.058,""
"batch_019","TEMPTED","success",0.492063492063492,0.492063492063492,0.497330447330447,5.27799999999999,""
"batch_020","TEMPTED","success",0.571428571428571,0.571428571428571,0.577009936766034,4.965,""
